remark,"CSV-Import-Export"
remark,"Date = Fri May 29 12:29:30 2026"
remark,"Version = RSLogix 5000 v38.01"
remark,"Owner = Esau"
remark,"Company = SEI Automation"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,E1_EXPULSAR_PALLET:I1,"","_001A:CMMT_AS_3392BCE0:I:0","","(ExternalAccess := Read/Write)"
TAG,,E1_EXPULSAR_PALLET:O1,"","_001A:CMMT_AS_1CF890D4:O:0","","(ExternalAccess := Read/Write)"
TAG,,TSS:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,TSS:I,"","AB:ETHERNET_MODULE_INT_12Bytes:I:0","","(ExternalAccess := Read/Write)"
TAG,,TSS:O,"","AB:ETHERNET_MODULE_INT_12Bytes:O:0","","(ExternalAccess := Read/Write)"
TAG,,E1_ROBOT_DISP:I,"","_027C:YAMAHAROBOTRCXEIP_25D5924F:I:0","","(ExternalAccess := Read/Write)"
TAG,,TSX:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,TSX:I,"","AB:ETHERNET_MODULE_INT_12Bytes:I:0","","(ExternalAccess := Read/Write)"
TAG,,TSX:O,"","AB:ETHERNET_MODULE_INT_12Bytes:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:10:C,"","AB:1769_DO32:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:10:I,"","AB:1769_DO32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:10:O,"","AB:1769_DO32:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:C,"","AB:1769_OF4:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:I,"","AB:1769_OF4:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:O,"","AB:1769_OF4:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:C,"","AB:1769_IR6:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:I,"","AB:1769_IR6:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:3:I,"","AB:1769_DI32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:4:I,"","AB:1769_DI32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:5:I,"","AB:1769_DI32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:I,"","AB:1769_DI32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:C,"","AB:1769_DO32:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:I,"","AB:1769_DO32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:O,"","AB:1769_DO32:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:C,"","AB:1769_DO32:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:I,"","AB:1769_DO32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:O,"","AB:1769_DO32:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:C,"","AB:1769_DO32:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:I,"","AB:1769_DO32:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:O,"","AB:1769_DO32:O:0","","(ExternalAccess := Read/Write)"
TAG,,SCARA:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,SCARA:I,"","AB:ETHERNET_MODULE_INT_48Bytes:I:0","","(ExternalAccess := Read/Write)"
COMMENT,,SCARA:I,"Yamaha Dedicated Output SOW(0)",,"SCARA:I.DATA[0]"
COMMENT,,SCARA:I,"Yamaha Dedicated Output SOW(1)",,"SCARA:I.DATA[1]"
COMMENT,,SCARA:I,"SOW(2) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[2]"
COMMENT,,SCARA:I,"SOW(3) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[3]"
COMMENT,,SCARA:I,"SOW(4) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[4]"
COMMENT,,SCARA:I,"SOW(5) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[5]"
COMMENT,,SCARA:I,"SOW(6) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[6]"
COMMENT,,SCARA:I,"SOW(7) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[7]"
COMMENT,,SCARA:I,"SOW(8) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[8]"
COMMENT,,SCARA:I,"SOW(9) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[9]"
COMMENT,,SCARA:I,"SOW(10) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[10]"
COMMENT,,SCARA:I,"SOW(11) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[11]"
COMMENT,,SCARA:I,"SOW(12) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[12]"
COMMENT,,SCARA:I,"SOW(13) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[13]"
COMMENT,,SCARA:I,"SOW(14) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[14]"
COMMENT,,SCARA:I,"SOW(15) General User Word / DO NOT USE when AOIs are USED",,"SCARA:I.DATA[15]"
COMMENT,,SCARA:I,"Yamaha Dedicated Outputs to PLC SO0() & SO1()",,"SCARA:I.DATA[16]"
COMMENT,,SCARA:I,"SO(00)$NEmergency Stop Status",,"SCARA:I.DATA[16].0"
COMMENT,,SCARA:I,"SO(01)$NCPU OK Status",,"SCARA:I.DATA[16].1"
COMMENT,,SCARA:I,"SO(02)$NServo On Status",,"SCARA:I.DATA[16].2"
COMMENT,,SCARA:I,"SO(03)$NAlarm Status",,"SCARA:I.DATA[16].3"
COMMENT,,SCARA:I,"SO(04)$Nreserved",,"SCARA:I.DATA[16].4"
COMMENT,,SCARA:I,"SO(05)$Nreserved",,"SCARA:I.DATA[16].5"
COMMENT,,SCARA:I,"SO(06)$Nreserved",,"SCARA:I.DATA[16].6"
COMMENT,,SCARA:I,"SO(07)$Nreserved",,"SCARA:I.DATA[16].7"
COMMENT,,SCARA:I,"SO(10)$NAuto Mode Status",,"SCARA:I.DATA[16].8"
COMMENT,,SCARA:I,"SO(11)$NReturn-to-Origin Status",,"SCARA:I.DATA[16].9"
COMMENT,,SCARA:I,"SO(12)$NSequence Program Execution Status",,"SCARA:I.DATA[16].10"
COMMENT,,SCARA:I,"SO(13)$NProgram Execution Status",,"SCARA:I.DATA[16].11"
COMMENT,,SCARA:I,"SO(14)$NProgram Reset Status",,"SCARA:I.DATA[16].12"
COMMENT,,SCARA:I,"SO(15)$NBattery Alarm Status",,"SCARA:I.DATA[16].13"
COMMENT,,SCARA:I,"SO(16)$NIO Command Execution Status",,"SCARA:I.DATA[16].14"
